dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,False,seed_1,agent_1,0.7605557814703963,0.7676999999999998,0.7098823529411765,0.009283422459893048,0.129999999999999
cifar100,modular,False,seed_1,agent_2,0.762458667329251,0.7576,0.6881176470588235,0.00823529411764706,0.6799999999999995
cifar100,modular,False,seed_1,agent_6,0.7592597896842024,0.7707999999999998,0.7138823529411765,0.008427807486631016,0.9500000000000003
cifar100,modular,False,seed_1,agent_7,0.7578815117706713,0.7501,0.6881176470588235,0.008705882352941176,0.7600000000000007
cifar100,modular,False,seed_1,agent_4,0.7564026724181341,0.7641,0.701764705882353,0.008192513368983958,0.8599999999999991
cifar100,modular,False,seed_1,agent_3,0.7646002140431252,0.7671,0.7108235294117646,0.008470588235294117,0.6800000000000006
cifar100,modular,False,seed_1,agent_0,0.7785208968387487,0.7754,0.6962352941176472,0.009518716577540106,0.38999999999999924
cifar100,modular,False,seed_1,agent_5,0.7531050542422834,0.7583,0.6947058823529412,0.007957219251336899,0.7000000000000006
cifar100,modular,False,seed_2,agent_1,0.7586018907896571,0.7577,0.6950588235294118,0.009336898395721924,0.010000000000000564
cifar100,modular,False,seed_2,agent_2,0.7651629755880212,0.7620000000000001,0.7135294117647059,0.007807486631016045,0.3999999999999987
cifar100,modular,False,seed_2,agent_6,0.77216476028019,0.7621,0.6944705882352941,0.008855614973262033,0.65
cifar100,modular,False,seed_2,agent_7,0.7733193477069684,0.7615999999999999,0.7021176470588234,0.009550802139037431,0.2600000000000008
cifar100,modular,False,seed_2,agent_4,0.7702044898473509,0.754,0.6992941176470588,0.00890909090909091,0.65
cifar100,modular,False,seed_2,agent_3,0.7574785476987854,0.7535,0.7,0.009058823529411765,0.28000000000000025
cifar100,modular,False,seed_2,agent_0,0.7844701734550078,0.7727999999999999,0.7041176470588235,0.009304812834224598,0.6500000000000006
cifar100,modular,False,seed_2,agent_5,0.758523419975783,0.7649999999999999,0.7010588235294117,0.00912299465240642,0.02999999999999892
cifar100,modular,False,seed_3,agent_1,0.7688045894280551,0.7520999999999998,0.6911764705882353,0.008909090909090908,0.6500000000000011
cifar100,modular,False,seed_3,agent_2,0.7518650216615977,0.7587,0.6965882352941176,0.009155080213903745,0.20000000000000018
cifar100,modular,False,seed_3,agent_6,0.7595983959119453,0.7529999999999999,0.6887058823529412,0.009187165775401069,0.4499999999999999
cifar100,modular,False,seed_3,agent_7,0.7893331310365912,0.7601000000000002,0.702235294117647,0.009080213903743315,0.6100000000000005
cifar100,modular,False,seed_3,agent_4,0.7346689823935955,0.7543,0.6949411764705883,0.008620320855614972,0.11999999999999955
cifar100,modular,False,seed_3,agent_3,0.7783730123788674,0.7595999999999999,0.6892941176470588,0.009016042780748662,0.42000000000000093
cifar100,modular,False,seed_3,agent_0,0.7613181917750393,0.7544000000000002,0.6768235294117647,0.009689839572192513,0.4899999999999999
cifar100,modular,False,seed_3,agent_5,0.7764609924070952,0.7612,0.6885882352941176,0.009229946524064172,0.789999999999999
cifar100,modular,False,seed_0,agent_1,0.7515829089752192,0.7629,0.6996470588235295,0.008342245989304813,0.4399999999999992
cifar100,modular,False,seed_0,agent_2,0.746518755789426,0.7601000000000001,0.7104705882352941,0.008106951871657756,0.03999999999999948
cifar100,modular,False,seed_0,agent_6,0.7768843691654063,0.7684,0.7114117647058823,0.009229946524064172,0.49000000000000044
cifar100,modular,False,seed_0,agent_7,0.7766488321321731,0.7685000000000002,0.7076470588235295,0.009155080213903743,0.13000000000000012
cifar100,modular,False,seed_0,agent_4,0.7654473964773363,0.7541999999999999,0.680235294117647,0.009689839572192513,0.5999999999999994
cifar100,modular,False,seed_0,agent_3,0.7529552064661699,0.7606999999999999,0.6979999999999998,0.008620320855614974,0.34999999999999976
cifar100,modular,False,seed_0,agent_0,0.7606268227715142,0.7696999999999998,0.705058823529412,0.008524064171122996,0.14000000000000012
cifar100,modular,False,seed_0,agent_5,0.7618018234987458,0.7542,0.6819999999999999,0.008919786096256686,0.3699999999999998
