dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward
cifar100,monolithic,True,seed_0,agent_1,0.7132120690197314,0.7110000000000001,0.20825,-0.010130434782608696
cifar100,monolithic,True,seed_0,agent_2,0.7534103998458972,0.7550000000000001,0.17425000000000002,-0.006641304347826087
cifar100,monolithic,True,seed_0,agent_3,0.7277766862367724,0.7282,0.1925,-0.008576086956521739
cifar100,monolithic,True,seed_0,agent_0,0.7641039905694366,0.7814,0.243125,-0.00867391304347826
cifar100,modular,False,seed_0,agent_1,0.7831674424077384,0.784,0.209125,0.00035869565217391277
cifar100,modular,False,seed_0,agent_2,0.7876739850346807,0.7889999999999999,0.21837499999999999,0.00017391304347826042
cifar100,modular,False,seed_0,agent_3,0.7610768431173229,0.7474000000000001,0.211125,0.0003369565217391295
cifar100,modular,False,seed_0,agent_0,0.811866733334927,0.8206,0.23075,9.782608695652183e-05
cifar100,monolithic,False,seed_0,agent_1,0.7238903813146993,0.717,0.19825,-0.011250000000000001
cifar100,monolithic,False,seed_0,agent_2,0.755987211341183,0.7608,0.196625,-0.010434782608695651
cifar100,monolithic,False,seed_0,agent_3,0.7084855993631196,0.6890000000000001,0.200875,-0.011054347826086955
cifar100,monolithic,False,seed_0,agent_0,0.7632355427853881,0.7827999999999999,0.1925,-0.010021739130434781
cifar100,modular,True,seed_0,agent_1,0.7209320971930976,0.7242,0.20075,-0.001456521739130433
cifar100,modular,True,seed_0,agent_2,0.7341642407128475,0.7382000000000001,0.2025,-0.0015978260869565213
cifar100,modular,True,seed_0,agent_3,0.7126805342318501,0.7012,0.20425000000000001,-2.1739130434782627e-05
cifar100,modular,True,seed_0,agent_0,0.7525862376057035,0.7616,0.20425000000000001,0.00032608695652174
