train_task,test_task,test_acc,test_loss,epoch
0,0,0.5235042735042735,0.6922491330366868,0
0,avg,0.5235042735042735,0.6922491330366868,0
0,0,0.5235042735042735,0.6922491330366868,0
0,avg,0.5235042735042735,0.6922491330366868,0
1,0,0.5235042735042735,0.6922491330366868,0
1,1,0.4929718875502008,0.6940173106978696,0
1,avg,0.5082380805272372,0.6931332218672782,0
1,0,0.5235042735042735,0.6922491330366868,0
1,1,0.4929718875502008,0.6940173106978696,0
1,avg,0.5082380805272372,0.6931332218672782,0
2,0,0.5235042735042735,0.6922491330366868,0
2,1,0.4929718875502008,0.6940173106978696,0
2,2,0.4814070351758794,0.6984941338773948,0
2,avg,0.4992943987434513,0.6949201925373171,0
2,0,0.5235042735042735,0.6922491330366868,0
2,1,0.4929718875502008,0.6940173106978696,0
2,2,0.4814070351758794,0.6984941338773948,0
2,avg,0.4992943987434513,0.6949201925373171,0
3,0,0.5235042735042735,0.6922491330366868,0
3,1,0.4929718875502008,0.6940173106978696,0
3,2,0.4814070351758794,0.6984941338773948,0
3,3,0.5247341655108645,0.6924311707982078,0
3,avg,0.5056543404353046,0.6942979371025397,0
3,0,0.5235042735042735,0.6910829238402538,1
3,1,0.4929718875502008,0.692080003669463,1
3,2,0.4814070351758794,0.6994765161868914,1
3,3,0.5247341655108645,0.6905590450658988,1
3,avg,0.5056543404353046,0.6932996221906268,1
3,0,0.5235042735042735,0.6887835518926637,2
3,1,0.8132530120481928,0.6900301477516512,2
3,2,0.4814070351758794,0.698066082671659,2
3,3,0.5247341655108645,0.6877587327679384,2
3,avg,0.5857246215598025,0.6911596287709781,2
3,0,0.5235042735042735,0.6845168945116874,3
3,1,0.9226907630522089,0.6869937942688724,3
3,2,0.4814070351758794,0.6955096680914338,3
3,3,0.5247341655108645,0.6833193034305652,3
3,avg,0.6130840593108066,0.6875849150756397,3
3,0,0.5235042735042735,0.6764652993943956,4
3,1,0.9246987951807228,0.6818929388819928,4
3,2,0.4814070351758794,0.6901452682725149,4
3,3,0.5247341655108645,0.6753298670838841,4
3,avg,0.6135860673429351,0.6809583434081969,4
3,0,0.5235042735042735,0.6631414299337273,5
3,1,0.9412650602409639,0.6730548215199665,5
3,2,0.4814070351758794,0.6809973711943507,5
3,3,0.5247341655108645,0.6605747415134325,5
3,avg,0.6177276336079953,0.6694420910403692,5
3,0,0.5256410256410257,0.6420322463043735,6
3,1,0.9482931726907631,0.6592997508834165,6
3,2,0.4814070351758794,0.665941953419441,6
3,3,0.5275080906148867,0.6350618945301213,6
3,avg,0.6207123310306387,0.650583961284338,6
3,0,0.7393162393162394,0.6104226723695413,7
3,1,0.9508032128514057,0.6380275128835655,7
3,2,0.5919597989949749,0.6409159943087017,7
3,3,0.7309292649098474,0.5919314563908182,7
3,avg,0.7532521290181169,0.6203244089881567,7
3,0,0.8787393162393162,0.56499114810911,8
3,1,0.9578313253012049,0.605553362742964,8
3,2,0.7738693467336684,0.6064527847060007,8
3,3,0.8155339805825242,0.5310141254342159,8
3,avg,0.8564934922141785,0.5770028552480726,8
3,0,0.905982905982906,0.5037748752496182,9
3,1,0.9613453815261044,0.5589651008207636,9
3,2,0.892964824120603,0.5480462194088116,9
3,3,0.8876560332871013,0.4564437425307416,9
3,avg,0.9119872862291787,0.5168074845024837,9
3,0,0.9214743589743589,0.4240281011304285,10
3,1,0.9628514056224899,0.4928277793179554,10
3,2,0.9100502512562814,0.4693030659277834,10
