train_task,test_task,test_acc,test_loss,epoch
0,0,0.5235042735042735,0.6914830004048144,0
0,avg,0.5235042735042735,0.6914830004048144,0
0,0,0.5235042735042735,0.6914830004048144,0
0,avg,0.5235042735042735,0.6914830004048144,0
1,0,0.5235042735042735,0.6914830004048144,0
1,1,0.4929718875502008,0.6938598893253679,0
1,avg,0.5082380805272372,0.6926714448650911,0
1,0,0.5235042735042735,0.6914830004048144,0
1,1,0.4929718875502008,0.6938598893253679,0
1,avg,0.5082380805272372,0.6926714448650911,0
2,0,0.5235042735042735,0.6914830004048144,0
2,1,0.4929718875502008,0.6938598893253679,0
2,2,0.4814070351758794,0.6998106836673602,0
2,avg,0.4992943987434513,0.6950511911325141,0
2,0,0.5235042735042735,0.6914830004048144,0
2,1,0.4929718875502008,0.6938598893253679,0
2,2,0.4814070351758794,0.6998106836673602,0
2,avg,0.4992943987434513,0.6950511911325141,0
3,0,0.5235042735042735,0.6914830004048144,0
3,1,0.4929718875502008,0.6938598893253679,0
3,2,0.4814070351758794,0.6998106836673602,0
3,3,0.47526583448913545,0.6968047326767384,0
3,avg,0.4932872576798723,0.6954895765185702,0
3,0,0.5235042735042735,0.6883453161288531,1
3,1,0.4929718875502008,0.691939319472715,1
3,2,0.4814070351758794,0.6998252370249686,1
3,3,0.47526583448913545,0.6943743172697154,1
3,avg,0.4932872576798723,0.693621047474063,1
3,0,0.5235042735042735,0.6846039519350753,2
3,1,0.4929718875502008,0.6894548944680088,2
3,2,0.4814070351758794,0.6983222693055119,2
3,3,0.47526583448913545,0.6916602139554529,2
3,avg,0.4932872576798723,0.6910103324160122,2
3,0,0.5235042735042735,0.6778589110089164,3
3,1,0.6541164658634538,0.685288647571242,3
3,2,0.4814070351758794,0.6964027289769158,3
3,3,0.8908922792417938,0.6881950191474876,3
3,avg,0.6374800134463502,0.6869363266761404,3
3,0,0.5235042735042735,0.6666881834339892,4
3,1,0.8860441767068273,0.6775746249769586,4
3,2,0.4814070351758794,0.6920129440537649,4
3,3,0.5737401756819233,0.6824934981897701,4
3,avg,0.6161739152672259,0.6796923126636207,4
3,0,0.5235042735042735,0.6493118216848781,5
3,1,0.9051204819277109,0.6632667679384531,5
3,2,0.4814070351758794,0.6844144658227662,5
3,3,0.6028663892741563,0.6730633654971394,5
3,avg,0.6282245449705051,0.6675141052358092,5
3,0,0.530982905982906,0.6223528324029385,6
3,1,0.9201807228915663,0.6394452857205188,6
3,2,0.4819095477386935,0.6723267598367816,6
3,3,0.7406380027739251,0.6570984218278197,6
3,avg,0.6684277948467727,0.6478058249470147,6
3,0,0.686965811965812,0.5797082603487194,7
3,1,0.9252008032128514,0.5991527526732908,7
3,2,0.6592964824120603,0.6509595554677685,7
3,3,0.7628294036061026,0.6320262455686727,7
3,avg,0.7585731252992066,0.6154617035146128,7
3,0,0.8125,0.5139637543604925,8
3,1,0.9201807228915663,0.5318300484653458,8
3,2,0.7391959798994975,0.6180599768557141,8
3,3,0.7545076282940361,0.5910277805337187,8
3,avg,0.806596082771275,0.5637203900538177,8
3,0,0.8589743589743589,0.43714122079376483,9
3,1,0.9166666666666666,0.43592929457086155,9
3,2,0.799497487437186,0.5635889254622723,9
3,3,0.8317152103559871,0.5256262191511446,9
3,avg,0.8517134308585497,0.49057141499451085,9
3,0,0.8867521367521367,0.3565958422473353,10
3,1,0.9156626506024096,0.3332134614507836,10
3,2,0.8371859296482412,0.4937064664447727,10
3,3,0.8765603328710125,0.43972019966255993,10
3,avg,0.87904026246845,0.40580899245136287,10
3,0,0.8712606837606838,0.3134356095240666,11
3,1,0.9282128514056225,0.24074091585764446,11
3,2,0.8693467336683417,0.41226796289185186,11
3,3,0.9209431345353676,0.33787551259090653,11
3,avg,0.8974408508425039,0.3260800002161174,11
3,0,0.8846153846153846,0.2735426324045556,12
3,1,0.9292168674698795,0.18930502493218723,12
3,2,0.8894472361809045,0.33500925572074236,12
3,3,0.9398982894128525,0.24940005728782905,12
3,avg,0.9107944444197553,0.26181424258632857,12
3,0,0.8899572649572649,0.24838126418936965,13
3,1,0.9282128514056225,0.1740081884774817,13
3,2,0.9105527638190954,0.27074401318727426,13
3,3,0.9477577438742487,0.188585566195745,13
3,avg,0.9191201560140578,0.22042975801246767,13
3,0,0.9001068376068376,0.23428442946866027,14
3,1,0.929718875502008,0.17190019289652506,14
3,2,0.9201005025125628,0.23147882241100523,14
3,3,0.9583911234396671,0.14310149158860488,14
3,avg,0.9270793347652689,0.19519123409119885,14
3,0,0.8963675213675214,0.23459035718542898,15
3,1,0.927710843373494,0.18611172404155196,15
3,2,0.9256281407035176,0.20438749993865812,15
3,3,0.9602404068423486,0.12635005187282836,15
3,avg,0.9274867280717204,0.18785990825961685,15
3,0,0.9097222222222222,0.21065052146585578,16
3,1,0.9317269076305221,0.17624522117247066,16
3,2,0.9291457286432161,0.1948050896726062,16
3,3,0.967175219602404,0.11436713540989439,16
3,avg,0.9344425195245911,0.17401699193020675,16
3,0,0.9172008547008547,0.2013925813202165,17
3,1,0.928714859437751,0.18642490838904935,17
3,2,0.9326633165829146,0.18155037673873517,17
3,3,0.965788257050393,0.11022945823792886,17
3,avg,0.9360918219429782,0.16989933117148248,17
3,0,0.9172008547008547,0.19660079275440967,18
3,1,0.9322289156626506,0.17954199668394036,18
3,2,0.9341708542713568,0.17762639893958318,18
3,3,0.965788257050393,0.10971778044257514,18
3,avg,0.9373472204213137,0.1658717422051271,18
3,0,0.9220085470085471,0.18959287292936927,19
3,1,0.9327309236947792,0.18443188705597538,19
3,2,0.9336683417085427,0.17167203701920244,19
3,3,0.9653259361997226,0.11027454238658804,19
3,avg,0.9384334371528978,0.1639928348477838,19
3,0,0.9198717948717948,0.19025322820386317,20
3,1,0.9327309236947792,0.18870294907964377,20
3,2,0.9371859296482412,0.17365637736104841,20
3,3,0.9611650485436893,0.11854160024896022,20
3,avg,0.937738424189626,0.1677885387233789,20
3,0,0.9246794871794872,0.18432278205186892,21
3,1,0.9347389558232931,0.1798446671551011,21
3,2,0.9351758793969849,0.17470125361303587,21
3,3,0.9625520110957004,0.11700334077183427,21
3,avg,0.9392865833738665,0.16396801089796004,21
3,0,0.9220085470085471,0.1832400967932155,22
3,1,0.9352409638554217,0.17976152849005886,22
3,2,0.936180904522613,0.168506121994862,22
3,3,0.965788257050393,0.11353340845553345,22
3,avg,0.9398046681092437,0.16126028893341748,22
3,0,0.9220085470085471,0.1947326721289219,23
3,1,0.9352409638554217,0.18619168427095834,23
3,2,0.9326633165829146,0.17570110589415583,23
3,3,0.9620896902450301,0.11929469564916688,23
3,avg,0.9380006294229785,0.16898003948580073,23
3,0,0.9289529914529915,0.18403689983563545,24
3,1,0.9337349397590361,0.1846662568280017,24
3,2,0.9336683417085427,0.1774960292643638,24
3,3,0.9653259361997226,0.11436170127399531,24
3,avg,0.9404205522800733,0.1651402218004991,24
3,0,0.9284188034188035,0.18143649488432795,25
3,1,0.9372489959839357,0.18215346527865614,25
3,2,0.9341708542713568,0.17635255075579312,25
3,3,0.9662505779010634,0.1104732836169112,25
3,avg,0.9415223078937899,0.1626039486339221,25
3,0,0.9294871794871795,0.19059296754690316,26
3,1,0.9352409638554217,0.19522959831728035,26
3,2,0.9321608040201005,0.1822914813631144,26
3,3,0.9648636153490523,0.11970147301739584,26
3,avg,0.9404381406779385,0.17195388006117343,26
3,0,0.9284188034188035,0.18419209810403678,27
3,1,0.9352409638554217,0.19305582314610004,27
3,2,0.9321608040201005,0.18486588636235377,27
3,3,0.9653259361997226,0.11958775606300893,27
3,avg,0.940286626873512,0.1704253909188749,27
3,0,0.9278846153846154,0.18571472473633596,28
3,1,0.9377510040160643,0.18989330266852933,28
3,2,0.9331658291457287,0.18727520794125657,28
3,3,0.9662505779010634,0.11461857364952592,28
3,avg,0.941263006611868,0.16937545224891196,28
3,0,0.9278846153846154,0.19740766286849976,29
3,1,0.9332329317269076,0.2026283099469411,29
3,2,0.9331658291457287,0.19222733770782624,29
3,3,0.9644012944983819,0.12387705620824326,29
3,avg,0.9396711676889083,0.1790350916828776,29
3,0,0.9310897435897436,0.18752351173987755,30
3,1,0.9382530120481928,0.19411534094906235,30
3,2,0.9326633165829146,0.19109053971180365,30
3,3,0.9653259361997226,0.11434963087874654,30
3,avg,0.9418330021051434,0.17176975581987253,30
3,0,0.9268162393162394,0.20075757075578737,31
3,1,0.9347389558232931,0.20590172714018917,31
3,2,0.9326633165829146,0.19867437257239567,31
3,3,0.9653259361997226,0.12499581406196951,31
3,avg,0.9398861119805425,0.18258237113258544,31
3,0,0.9262820512820513,0.20562067806211293,32
3,1,0.9382530120481928,0.20331322715943118,32
3,2,0.9351758793969849,0.20780017986968535,32
3,3,0.9653259361997226,0.12459760146509206,32
3,avg,0.9412592197317379,0.18533292163908038,32
3,0,0.9289529914529915,0.19711732966268164,33
3,1,0.9357429718875502,0.20707077386388817,33
3,2,0.9336683417085427,0.20242102541516174,33
3,3,0.9653259361997226,0.12293723221460097,33
3,avg,0.9409225603122018,0.18238659028908313,33
3,0,0.9246794871794872,0.21542886892954508,34
3,1,0.9357429718875502,0.22357031427712803,34
3,2,0.9336683417085427,0.20581076252999617,34
3,3,0.9620896902450301,0.13695431306744635,34
3,avg,0.9390451227551526,0.1954410647010289,34
3,0,0.9273504273504274,0.210097185566894,35
3,1,0.9422690763052208,0.20861114890699883,35
3,2,0.9336683417085427,0.2139696638787811,35
3,3,0.9648636153490523,0.12084336463797715,35
3,avg,0.9420378651783109,0.18838034074766277,35
3,0,0.9273504273504274,0.2152102003749619,36
3,1,0.9342369477911646,0.23961974626564117,36
3,2,0.9346733668341709,0.2095810041954769,36
3,3,0.9620896902450301,0.14332254143484313,36
3,avg,0.9395876080551983,0.20193337306773076,36
3,0,0.9278846153846154,0.21445792760604468,37
3,1,0.9377510040160643,0.21944775734560557,37
3,2,0.9326633165829146,0.21904305884586506,37
3,3,0.9625520110957004,0.12660464764302712,37
3,avg,0.9402127367698238,0.19488834786013562,37
3,0,0.9262820512820513,0.22801769085419485,38
3,1,0.9352409638554217,0.23426628495794702,38
3,2,0.9321608040201005,0.2226929698158149,38
3,3,0.9611650485436893,0.1414053760851306,38
3,avg,0.9387122169253157,0.20659558042827184,38
3,0,0.9278846153846154,0.22187304394876856,39
3,1,0.9342369477911646,0.2405608255700414,39
3,2,0.9346733668341709,0.2179333662866947,39
3,3,0.9620896902450301,0.1409177557495089,39
3,avg,0.9397211550637453,0.2053212478887534,39
3,0,0.9268162393162394,0.2293343880237677,40
3,1,0.9367469879518072,0.23334172834832984,40
3,2,0.9331658291457287,0.22510912717886306,40
3,3,0.9620896902450301,0.13788916146485164,40
3,avg,0.9397046866647014,0.20641860125395306,40
3,0,0.9284188034188035,0.23521177381531805,41
3,1,0.9357429718875502,0.24305160553101077,41
3,2,0.9336683417085427,0.22735670655217002,41
3,3,0.9597780859916782,0.14902236568558508,41
3,avg,0.9394020507516436,0.21366061289602095,41
3,0,0.9289529914529915,0.23635191387600368,42
3,1,0.9367469879518072,0.24110005179562244,42
3,2,0.935678391959799,0.2250250667782884,42
3,3,0.9616273693943597,0.14264256040420567,42
3,avg,0.9407514351897394,0.21127989821353005,42
3,0,0.9273504273504274,0.24303619372539031,43
3,1,0.9367469879518072,0.24353231004921785,43
3,2,0.9341708542713568,0.23094699418724482,43
3,3,0.9611650485436893,0.1467398957857863,43
3,avg,0.9398583295293201,0.21606384843690982,43
3,0,0.9273504273504274,0.24528955903827634,44
3,1,0.9357429718875502,0.2539744855888397,44
3,2,0.9341708542713568,0.23013079945166506,44
3,3,0.9602404068423486,0.15627010542101955,44
3,avg,0.9393761650879207,0.22141623737495014,44
3,0,0.9268162393162394,0.24758420031294864,45
3,1,0.9372489959839357,0.25250024680631705,45
3,2,0.9341708542713568,0.23261651369794528,45
3,3,0.9602404068423486,0.15268053878417348,45
3,avg,0.93961912410347,0.22134537490034611,45
3,0,0.9268162393162394,0.2515006432166466,46
3,1,0.9367469879518072,0.2532825536996006,46
3,2,0.9341708542713568,0.23556835807148535,46
3,3,0.9602404068423486,0.15405821513644644,46
3,avg,0.939493622095438,0.22360244253104478,46
3,0,0.9268162393162394,0.2550316743361644,47
3,1,0.9372489959839357,0.25649793942769367,47
3,2,0.9346733668341709,0.23575788047445478,47
3,3,0.9602404068423486,0.15718484927921234,47
3,avg,0.9397447522441736,0.22611808587938131,47
3,0,0.9268162393162394,0.2575030072122558,48
3,1,0.9372489959839357,0.25794828368956785,48
3,2,0.936180904522613,0.23687138868935742,48
3,3,0.9602404068423486,0.15853838428985836,48
3,avg,0.9401216366662841,0.22771526597025984,48
3,0,0.9257478632478633,0.26135673278417343,49
3,1,0.9377510040160643,0.2619954323672865,49
3,2,0.9341708542713568,0.2395227096787649,49
3,3,0.9602404068423486,0.16350416392019046,49
3,avg,0.9394775320944082,0.2315947596876038,49
3,0,0.9284188034188035,0.26210614249237585,50
3,1,0.9377510040160643,0.2569197679619234,50
3,2,0.9341708542713568,0.24082833678279092,50
3,3,0.9611650485436893,0.1567085796740669,50
3,avg,0.9403764275624784,0.22914070672778927,50
3,0,0.9262820512820513,0.2686372455368694,51
3,1,0.9372489959839357,0.26498829025820075,51
3,2,0.9351758793969849,0.24272529947098775,51
3,3,0.9597780859916782,0.16679162269271308,51
3,avg,0.9396212531636626,0.23578561448969274,51
3,0,0.9262820512820513,0.27069110340542263,52
3,1,0.9372489959839357,0.26805506844118415,52
3,2,0.9351758793969849,0.24157832447607913,52
3,3,0.9597780859916782,0.16718856328293177,52
3,avg,0.9396212531636626,0.2368782649014044,52
3,0,0.9273504273504274,0.27167347353747767,53
3,1,0.9377510040160643,0.26777854023209535,53
3,2,0.935678391959799,0.24397422560495347,53
3,3,0.9602404068423486,0.16698825750646357,53
3,avg,0.9402550575421598,0.23760362422024756,53
3,0,0.9257478632478633,0.27550799928159797,54
3,1,0.9382530120481928,0.2685123131457103,54
3,2,0.9351758793969849,0.24848727221464992,54
3,3,0.9602404068423486,0.16977456229955468,54
3,avg,0.9398542903838473,0.2405705367353782,54
3,0,0.9273504273504274,0.276357311468858,55
3,1,0.9382530120481928,0.26966126951347874,55
3,2,0.935678391959799,0.24708795595408684,55
3,3,0.960702727693019,0.16881649933972406,55
3,avg,0.9404961397628596,0.24048075906903693,55
3,0,0.9241452991452992,0.2776097904922616,56
3,1,0.9387550200803213,0.27263525595147925,56
3,2,0.9351758793969849,0.24721097035623674,56
3,3,0.960702727693019,0.17122942652902942,56
3,avg,0.9396947315789062,0.24217136083225174,56
3,0,0.9273504273504274,0.28213092608329576,57
3,1,0.9367469879518072,0.27880818106563215,57
3,2,0.9346733668341709,0.24868939174479576,57
3,3,0.9593157651410079,0.17916630320784896,57
3,avg,0.9395216368193534,0.24719870052539317,57
3,0,0.9246794871794872,0.2835997108720307,58
3,1,0.9387550200803213,0.2716410495191214,58
3,2,0.935678391959799,0.25175096425578825,58
3,3,0.960702727693019,0.17044517214630028,58
3,avg,0.9399539067281567,0.24435922419831013,58
3,0,0.9257478632478633,0.28608697805649197,59
3,1,0.9397590361445783,0.27254869181468305,59
3,2,0.936180904522613,0.25388908673770466,59
3,3,0.960702727693019,0.17178327961206105,59
3,avg,0.9405976329020185,0.24607700905523516,59
3,0,0.9246794871794872,0.2880011226376917,60
3,1,0.9387550200803213,0.2780858704363965,60
3,2,0.9346733668341709,0.25207047869811705,60
3,3,0.960702727693019,0.17597536383764203,60
3,avg,0.9397026504467496,0.2485332089024618,60
3,0,0.9268162393162394,0.2916476329167684,61
3,1,0.9362449799196787,0.2880776483849828,61
3,2,0.935678391959799,0.25172362016074024,61
3,3,0.9588534442903375,0.18719764478880116,61
3,avg,0.9393982638715136,0.25466163656282315,61
3,0,0.9241452991452992,0.2921454223812136,62
3,1,0.9392570281124498,0.2797166468149208,62
3,2,0.935678391959799,0.25509443235157725,62
3,3,0.960702727693019,0.177141770024681,62
3,avg,0.9399458617276418,0.2510245678930982,62
3,0,0.9252136752136753,0.29455690098623943,63
3,1,0.9387550200803213,0.28078736454607495,63
3,2,0.936180904522613,0.2569266295313236,63
3,3,0.960702727693019,0.1787355247053128,63
3,avg,0.9402130818774072,0.2527516049422377,63
3,0,0.9246794871794872,0.2964739677233574,64
3,1,0.9392570281124498,0.2826059582721756,64
3,2,0.936180904522613,0.25771486579473296,64
3,3,0.960702727693019,0.18005781277318383,64
3,avg,0.9402050368768923,0.25421315114086246,64
3,0,0.9257478632478633,0.2993052902384701,65
3,1,0.9382530120481928,0.2893198072670933,65
3,2,0.9351758793969849,0.2582252751642735,65
3,3,0.9588534442903375,0.18877591372528288,65
3,avg,0.9395075497458445,0.25890657159877994,65
3,0,0.9252136752136753,0.29884553668845415,66
3,1,0.9392570281124498,0.2866564898127054,66
3,2,0.9351758793969849,0.258525596311943,66
3,3,0.9602404068423486,0.18393804163939415,66
3,avg,0.9399717473913646,0.25699141611312415,66
3,0,0.9246794871794872,0.30029139151939976,67
3,1,0.9392570281124498,0.28682160473252877,67
3,2,0.9351758793969849,0.2591829520374087,67
3,3,0.9611650485436893,0.18330561811594406,67
3,avg,0.9400693608081527,0.25740039160132033,67
3,0,0.9246794871794872,0.3023409374758729,68
3,1,0.9397590361445783,0.2867919029480961,68
3,2,0.9371859296482412,0.26155021705819137,68
3,3,0.9611650485436893,0.18309345556198311,68
3,avg,0.9406973753789991,0.25844412826103585,68
3,0,0.9257478632478633,0.3046154527582674,69
3,1,0.9387550200803213,0.292720733397457,69
3,2,0.936180904522613,0.2607823606711536,69
3,3,0.9602404068423486,0.1895269764500308,69
3,avg,0.9402310486732866,0.26191138081922727,69
3,0,0.9252136752136753,0.307280921528482,70
3,1,0.9387550200803213,0.29397571517760496,70
3,2,0.9371859296482412,0.2637316478556724,70
3,3,0.9588534442903375,0.19222049166414398,70
3,avg,0.9400020173081438,0.2643021940564758,70
3,0,0.9246794871794872,0.3073675520399697,71
3,1,0.9392570281124498,0.2928502894788382,71
3,2,0.936180904522613,0.2632845452083415,71
3,3,0.9611650485436893,0.1889145523103034,71
3,avg,0.9403206170895598,0.2631042347593632,71
3,0,0.9252136752136753,0.30920582143669456,72
3,1,0.9392570281124498,0.2939661870519799,72
3,2,0.936180904522613,0.26426294988124216,72
3,3,0.9611650485436893,0.19008107985603662,72
3,avg,0.9404541640981069,0.2643790095564883,72
3,0,0.9246794871794872,0.310492414694566,73
3,1,0.9392570281124498,0.29546077567410756,73
3,2,0.936180904522613,0.26444637164398654,73
3,3,0.9611650485436893,0.19126139721052546,73
3,avg,0.9403206170895598,0.2654152398057964,73
3,0,0.9246794871794872,0.3134171341219519,74
3,1,0.9392570281124498,0.29923087909039725,74
3,2,0.9366834170854271,0.2661566969138294,74
3,3,0.9593157651410079,0.19666467592554185,74
3,avg,0.939983924379593,0.2688673465129301,74
3,0,0.9252136752136753,0.3139941804429405,75
