train_task,test_task,test_acc,test_loss,epoch
0,0,0.5293843283582089,0.6920121641301397,0
0,avg,0.5293843283582089,0.6920121641301397,0
0,0,0.5293843283582089,0.6920121641301397,0
0,avg,0.5293843283582089,0.6920121641301397,0
1,0,0.5293843283582089,0.6920121641301397,0
1,1,0.5178378378378379,0.6926532704121358,0
1,avg,0.5236110830980234,0.6923327172711378,0
1,0,0.5293843283582089,0.6920121641301397,0
1,1,0.5178378378378379,0.6926532704121358,0
1,avg,0.5236110830980234,0.6923327172711378,0
2,0,0.5293843283582089,0.6920121641301397,0
2,1,0.5178378378378379,0.6926532704121358,0
2,2,0.5129224652087475,0.6934930334982293,0
2,avg,0.5200482104682648,0.6927194893468349,0
2,0,0.5293843283582089,0.6920121641301397,0
2,1,0.5178378378378379,0.6926532704121358,0
2,2,0.5129224652087475,0.6934930334982293,0
2,avg,0.5200482104682648,0.6927194893468349,0
